rowId,trainNumber,trainName,trainType,sourceCode,sourceCity,destinationCode,destinationCity,departureTime,arrivalTime,travelDurationMinutes,distanceKm,availableSeats,totalSeats,fare,trainClass,journeyDate,coachCode,quota,haltCount,status
1,12001,Vande Bharat Express,SHATABDI,NDLS,Delhi,CSMT,Mumbai,06:45,16:30,525,1443,96,120,1240,CC,2026-08-21,EC,GENERAL,5,ACTIVE
2,12002,Vande Bharat Express,SHATABDI,CSMT,Mumbai,NDLS,Delhi,15:00,23:45,525,1443,84,120,1240,CC,2026-08-21,EC,GENERAL,5,ACTIVE
3,12231,Tejas Express,SUPERFAST,NDLS,Delhi,LKO,Lucknow,16:35,23:20,405,510,120,140,890,EC,2026-08-21,EC,GENERAL,2,ACTIVE
4,12267,Duronto Express,DURONTO,CSMT,Mumbai,HWH,Kolkata,18:00,06:00,720,1945,64,100,3250,SL,2026-08-21,SL,GENERAL,3,ACTIVE
5,12283,Duronto Express,DURONTO,SBC,Bengaluru,NDLS,Delhi,20:40,08:50,730,2365,96,130,2750,3A,2026-08-21,3A,GENERAL,4,ACTIVE
6,12301,Howrah Rajdhani,RAJDHANI,HWH,Kolkata,NDLS,Delhi,16:50,09:55,1025,1451,42,80,3900,3A,2026-08-21,3A,GENERAL,3,ACTIVE
7,12303,Howrah Rajdhani,RAJDHANI,HWH,Kolkata,NDLS,Delhi,13:05,06:15,1030,1451,38,80,3900,3A,2026-08-21,3A,GENERAL,3,ACTIVE
8,12627,Karnataka Express,EXPRESS,SBC,Bengaluru,NDLS,Delhi,20:45,13:00,975,2365,150,160,2350,SL,2026-08-21,SL,GENERAL,10,ACTIVE
9,12658,Kailash Ganga Express,EXPRESS,MAS,Chennai,NDLS,Delhi,19:30,16:25,1255,2182,154,160,2650,SL,2026-08-21,SL,GENERAL,11,ACTIVE
10,12690,Chendur Express,EXPRESS,MAS,Chennai,MDU,Madurai,08:00,13:45,345,493,180,200,420,SL,2026-08-21,SL,GENERAL,3,ACTIVE
11,12693,Pearl City Express,EXPRESS,MS,Chennai,TU,Thoothukudi,17:00,08:35,935,703,170,190,560,SL,2026-08-21,SL,GENERAL,6,ACTIVE
12,12701,Maharashtra Express,EXPRESS,CSMT,Mumbai,HWH,Kolkata,18:15,19:20,1505,1957,175,190,1685,SL,2026-08-21,SL,GENERAL,15,ACTIVE
13,12723,Telangana Express,EXPRESS,SC,Hyderabad,NDLS,Delhi,12:15,10:25,1330,1690,165,180,2350,SL,2026-08-21,SL,GENERAL,9,ACTIVE
14,12736,Sc Secunderabad Express,EXPRESS,SC,Hyderabad,YPR,Bengaluru,05:10,15:20,610,610,180,200,560,SL,2026-08-21,SL,GENERAL,4,ACTIVE
15,12781,Swarna Jayanti Rajdhani,RAJDHANI,NZM,Delhi,MAS,Chennai,16:30,07:05,875,2182,60,80,4100,3A,2026-08-21,3A,GENERAL,3,ACTIVE
16,12903,Golden Temple Mail,SUPERFAST,MMCT,Mumbai,ASR,Amritsar,21:35,21:55,1460,1922,150,170,2130,SL,2026-08-21,SL,GENERAL,13,ACTIVE
17,12951,Mumbai Rajdhani,RAJDHANI,MMCT,Mumbai,NZM,Delhi,16:30,07:05,875,1384,42,80,3600,3A,2026-08-21,3A,GENERAL,3,ACTIVE
18,13769,Mangalagiri Express,EXPRESS,HYB,Hyderabad,BZA,Vijayawada,05:55,10:55,300,360,185,200,280,SL,2026-08-21,SL,GENERAL,2,ACTIVE
19,16316,Yesvantpur Kochuveli Express,EXPRESS,YPR,Bengaluru,KOCHI,Kochi,06:00,16:45,645,680,120,150,590,SL,2026-08-21,SL,GENERAL,5,ACTIVE
20,17643,Circar Express,EXPRESS,Chennai Central,Chennai,Kakinada,Kakinada,10:00,21:45,705,650,160,180,475,SL,2026-08-21,SL,GENERAL,5,ACTIVE
21,20501,Tejas Rajdhani,RAJDHANI,NDLS,Delhi,DDU,Prayagraj,15:30,19:10,220,640,50,70,1620,CC,2026-08-21,CC,GENERAL,1,ACTIVE
22,22691,Yesvantpur Shatabdi,SHATABDI,YPR,Bengaluru,SEA,Chennai,07:15,11:55,280,362,78,90,980,CC,2026-08-21,CC,GENERAL,2,ACTIVE
23,22693,Rajdhani Express,RAJDHANI,SMVB,Bengaluru,HWH,Kolkata,19:40,20:25,1485,1880,44,70,3550,3A,2026-08-21,3A,GENERAL,5,ACTIVE
24,22859,Puri SF Express,SUPERFAST,SMVB,Bengaluru,SHM,Kolkata,10:30,23:30,1495,1900,96,150,2790,SL,2026-08-21,SL,GENERAL,7,ACTIVE
